a.wav,a
b.wav,b
d.wav,d
e.wav,e
f.wav,f
g.wav,g
h.wav,h
i.wav,i
j.wav,j
k.wav,k
l.wav,l
m.wav,m
n.wav,n
o.wav,o
p.wav,p
q.wav,q
r.wav,r
s.wav,s
t.wav,t
u.wav,u
v.wav,v
x.wav,x
y.wav,y
z.wav,z

sh.wav,sh
ch.wav,ch
o'.wav,oʼ
o'.wav,o'
o'.wav,"oʻ"
o'_o'rta.wav ,o'_o'rta
g'.wav,"gʼ"
g'.wav,g'
g'.wav,gʻ
g'_o'rta.wav,g'_o'rta
0.wav,0
1.wav,1
2.wav,2
3.wav,3
4.wav,4
5.wav,5
6.wav,6
7.wav,7
8.wav,8
9.wav,9
10.wav,10
20.wav,20
30.wav,30
40.wav,40
50.wav,50
60.wav,60
70.wav,70
80.wav,80
90.wav,90
100.wav,100
1000000.wav,1000000
1000.wav,1000
1000000000.wav,1000000000
212.wav,212
121.wav,121
12.wav,12



